goos: darwin
goarch: arm64
pkg: pkg.gostartkit.com/web
cpu: Apple M2
BenchmarkServeHTTPStaticJSON-8                            	 8313288	       138.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkServeHTTPStaticJSON-8                            	 8660424	       138.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkServeHTTPStaticJSON-8                            	 8567584	       139.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkServeHTTPStaticJSON-8                            	 8500180	       139.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkServeHTTPStaticJSON-8                            	 8559096	       138.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkServeHTTPPathParamJSON-8                         	 6635965	       185.3 ns/op	      24 B/op	       2 allocs/op
BenchmarkServeHTTPPathParamJSON-8                         	 6562503	       181.5 ns/op	      24 B/op	       2 allocs/op
BenchmarkServeHTTPPathParamJSON-8                         	 6521168	       184.7 ns/op	      24 B/op	       2 allocs/op
BenchmarkServeHTTPPathParamJSON-8                         	 6576444	       181.9 ns/op	      24 B/op	       2 allocs/op
BenchmarkServeHTTPPathParamJSON-8                         	 6580845	       180.9 ns/op	      24 B/op	       2 allocs/op
BenchmarkServeHTTPStaticJSONRawMessage-8                  	10943196	       108.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPStaticJSONRawMessage-8                  	10900600	       108.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPStaticJSONRawMessage-8                  	10929039	       109.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPStaticJSONRawMessage-8                  	 9487221	       110.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPStaticJSONRawMessage-8                  	10910751	       110.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPNoContent-8                             	60146733	        19.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPNoContent-8                             	59224405	        19.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPNoContent-8                             	61182476	        19.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPNoContent-8                             	60307062	        19.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPNoContent-8                             	60612182	        19.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPManualWrite-8                           	56348829	        21.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPManualWrite-8                           	54266107	        21.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPManualWrite-8                           	56090164	        21.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPManualWrite-8                           	56426994	        21.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPManualWrite-8                           	56862154	        21.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkServeHTTPCustomJSONWriter-8                      	10734036	       109.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPCustomJSONWriter-8                      	 9495266	       109.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPCustomJSONWriter-8                      	 9531193	       110.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPCustomJSONWriter-8                      	10718068	       109.8 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPCustomJSONWriter-8                      	10836102	       109.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkTryParseBodyJSON-8                               	  739611	      1694 ns/op	    6661 B/op	      24 allocs/op
BenchmarkTryParseBodyJSON-8                               	  735195	      1626 ns/op	    6661 B/op	      24 allocs/op
BenchmarkTryParseBodyJSON-8                               	  751131	      1597 ns/op	    6661 B/op	      24 allocs/op
BenchmarkTryParseBodyJSON-8                               	  757929	      1604 ns/op	    6661 B/op	      24 allocs/op
BenchmarkTryParseBodyJSON-8                               	  744208	      1615 ns/op	    6661 B/op	      24 allocs/op
BenchmarkTryParseJSONBodyFast-8                           	  866892	      1409 ns/op	    5599 B/op	      20 allocs/op
